date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-03-08,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,infections,0,0,0,0,0,0,Additional 50% Reduction,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,Rt,2.3,2.36,2.4,2.4,2.43,2.52,Additional 50% Reduction,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,Reff,2.3,2.36,2.4,2.4,2.43,2.52,Additional 50% Reduction,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,infections,0,0,0,0,0,0,Maintain Status Quo,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,prevalence,5,5,5,5,5,5,Maintain Status Quo,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,Rt,2.3,2.36,2.4,2.4,2.43,2.52,Maintain Status Quo,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,Reff,2.3,2.36,2.4,2.4,2.43,2.52,Maintain Status Quo,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,infections,0,0,0,0,0,0,Relax Interventions 50%,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Benin,BEN,2021-05-08,v8,TRUE
2020-03-08,Rt,2.3,2.36,2.4,2.4,2.43,2.52,Relax Interventions 50%,Benin,BEN,2021-05-08,v8,TRUE
