date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-12,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,Rt,2.98,2.99,3,3,3.01,3.03,Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,Reff,2.98,2.99,3,3,3.01,3.03,Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Maintain Status Quo,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,Rt,2.98,2.99,3,3,3.01,3.03,Maintain Status Quo,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,Reff,2.98,2.99,3,3,3.01,3.03,Maintain Status Quo,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,Rt,2.98,2.99,3,3,3.01,3.03,Relax Interventions 50%,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,Reff,2.98,2.99,3,3,3.01,3.03,Relax Interventions 50%,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,Rt,2.97,2.99,3,3,3.02,3.03,Surged Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,Reff,2.97,2.99,3,3,3.02,3.03,Surged Additional 50% Reduction,Bangladesh,BGD,2021-05-08,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Bangladesh,BGD,2021-05-08,v8,TRUE
