date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-12,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Additional 50% Reduction,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,Rt,4.45,4.56,4.58,4.58,4.61,4.66,Additional 50% Reduction,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,Reff,4.45,4.56,4.58,4.58,4.61,4.66,Additional 50% Reduction,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Maintain Status Quo,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Maintain Status Quo,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,Rt,4.45,4.56,4.58,4.58,4.61,4.66,Maintain Status Quo,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,Reff,4.45,4.56,4.58,4.58,4.61,4.66,Maintain Status Quo,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Relax Interventions 50%,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,Rt,4.45,4.56,4.58,4.58,4.61,4.66,Relax Interventions 50%,Canada,CAN,2021-05-08,v8,TRUE
2020-02-12,Reff,4.45,4.56,4.58,4.58,4.61,4.66,Relax Interventions 50%,Canada,CAN,2021-05-08,v8,TRUE
