date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-20,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Rt,3.35,3.35,3.35,3.35,3.35,3.35,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Reff,3.35,3.35,3.35,3.35,3.35,3.35,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Rt,3.35,3.35,3.35,3.35,3.35,3.35,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Reff,3.35,3.35,3.35,3.35,3.35,3.35,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Rt,3.35,3.35,3.35,3.35,3.35,3.35,Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Reff,3.35,3.35,3.35,3.35,3.35,3.35,Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Rt,3.35,3.35,3.35,3.35,3.35,3.35,Surged Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Reff,3.35,3.35,3.35,3.35,3.35,3.35,Surged Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Rt,3.35,3.35,3.35,3.35,3.35,3.35,Surged Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Reff,3.35,3.35,3.35,3.35,3.35,3.35,Surged Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Rt,3.35,3.35,3.35,3.35,3.35,3.35,Surged Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-20,Reff,3.35,3.35,3.35,3.35,3.35,3.35,Surged Relax Interventions 50%,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,infections,0.62,0.62,0.62,0.62,0.62,0.62,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,prevalence,5.07,5.07,5.07,5.07,5.07,5.07,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,Rt,3.41,3.41,3.41,3.41,3.41,3.42,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,Reff,3.41,3.41,3.41,3.41,3.41,3.42,Additional 50% Reduction,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,infections,0.62,0.62,0.62,0.62,0.62,0.62,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,prevalence,5.07,5.07,5.07,5.07,5.07,5.07,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,Rt,3.41,3.41,3.41,3.41,3.41,3.42,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
2020-02-21,Reff,3.41,3.41,3.41,3.41,3.41,3.42,Maintain Status Quo,Costa Rica,CRI,2021-05-03,v8,TRUE
