date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-16,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,infections,0,0,0,0,0,0,Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,Rt,2.87,2.87,2.87,2.87,2.87,2.87,Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,Reff,2.87,2.87,2.87,2.87,2.87,2.87,Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,infections,0,0,0,0,0,0,Maintain Status Quo,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,prevalence,5,5,5,5,5,5,Maintain Status Quo,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,Rt,2.87,2.87,2.87,2.87,2.87,2.87,Maintain Status Quo,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,Reff,2.87,2.87,2.87,2.87,2.87,2.87,Maintain Status Quo,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,infections,0,0,0,0,0,0,Relax Interventions 50%,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,Rt,2.87,2.87,2.87,2.87,2.87,2.87,Relax Interventions 50%,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,Reff,2.87,2.87,2.87,2.87,2.87,2.87,Relax Interventions 50%,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
2020-02-16,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Sri Lanka,LKA,2021-05-03,v8,TRUE
