date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-03-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,infections,0,0,0,0,0,0,Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,Rt,3.77,3.85,3.88,3.88,3.92,3.96,Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,Reff,3.77,3.85,3.88,3.88,3.91,3.96,Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,infections,0,0,0,0,0,0,Maintain Status Quo,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,prevalence,5,5,5,5,5,5,Maintain Status Quo,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,Rt,3.77,3.85,3.88,3.88,3.92,3.96,Maintain Status Quo,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,Reff,3.77,3.85,3.88,3.88,3.91,3.96,Maintain Status Quo,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,infections,0,0,0,0,0,0,Relax Interventions 50%,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,Rt,3.77,3.85,3.88,3.88,3.92,3.96,Relax Interventions 50%,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,Reff,3.77,3.85,3.88,3.88,3.91,3.96,Relax Interventions 50%,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,Rt,3.72,3.83,3.86,3.86,3.89,3.95,Surged Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,Reff,3.72,3.82,3.86,3.86,3.89,3.95,Surged Additional 50% Reduction,Sierra Leone,SLE,2021-05-08,v8,TRUE
2020-03-01,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Sierra Leone,SLE,2021-05-08,v8,TRUE
